Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,
WW273,10/05/2001,10:25,,,,"Depth to bottom from water surface at sampling location, meters - 82903",4.8,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.3,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,Grab,Water,1,Dissolved Oxygen - 00300,5.2,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,Grab,Water,4,Dissolved Oxygen - 00300,6.9,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,1,Dissolved Oxygen - 00300,5.7,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,2.5,Dissolved Oxygen - 00300,7.4,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,1,Dissolved Oxygen - 00300,5.35,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,2.5,Dissolved Oxygen - 00300,6.2,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/13/2001,12:53,Grab,Water,1,Dissolved Oxygen - 00300,6.95,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Kaufmann,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,Grab,Water,1,Dissolved Oxygen - 00300,6.35,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,Grab,Water,3,Dissolved Oxygen - 00300,6.75,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,10:25,Grab,Water,1,Dissolved Oxygen - 00300,7.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,10:25,Grab,Water,3.7,Dissolved Oxygen - 00300,7.05,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,Grab,Water,1,Dissolved Oxygen - 00300,7.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,Grab,Water,2.3,Dissolved Oxygen - 00300,8.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,0.5,E.coli - 31633,3,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,E.coli - 31633,4,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,E.coli - 31633,1,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,0.5,Fecal Coliform - 74055,4,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,Fecal Coliform - 74055,4,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,Fecal Coliform - 74055,1,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1.5,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,1.5,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.03,mg/l,,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.09,mg/l,,0.05,mg/l,0.05,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1.5,"Nitrogen, Total (unfiltered) - 00600",0.12,mg/l,,0.05,mg/l,0.05,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.07,mg/l,,0.05,mg/l,0.05,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,1.5,"Nitrogen, Total (unfiltered) - 00600",0.06,mg/l,,0.05,mg/l,0.05,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.17,mg/l,,0.05,mg/l,0.05,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,,,,,,Not analyzed,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1.5,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,,,,,,Not analyzed,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,,,,,,Not analyzed,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,1.5,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,,,,,,Not analyzed,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",26,ug/l,,3,ug/l,3,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,"Phosphorus, Total - 00665",21,ug/l,,4,ug/l,4,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1.5,"Phosphorus, Total - 00665",18,ug/l,,4,ug/l,4,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,"Phosphorus, Total - 00665",16,ug/l,,4,ug/l,4,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,1.5,"Phosphorus, Total - 00665",15,ug/l,,4,ug/l,4,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,"Phosphorus, Total - 00665",35,ug/l,,3,ug/l,3,ug/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,Grab,Water,1,"Salinity, (ppt) - 00480",32.2,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,1,"Salinity, (ppt) - 00480",31.6,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,2.5,"Salinity, (ppt) - 00480",32.4,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,1,"Salinity, (ppt) - 00480",31.8,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,2.5,"Salinity, (ppt) - 00480",31.8,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/13/2001,12:53,Grab,Water,1,"Salinity, (ppt) - 00480",32,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,Kaufmann,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,Grab,Water,1,"Salinity, (ppt) - 00480",32,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,10:25,Grab,Water,1,"Salinity, (ppt) - 00480",31.9,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,Grab,Water,1,"Salinity, (ppt) - 00480",33.8,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,,,,Secchi Depth - 00069,5,m,,0.1,m,0.1,m,,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,,,,Secchi Depth - 00069,3.2,m,,0.1,m,0.1,m,,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,,,,Secchi Depth - 00069,3.5,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/13/2001,12:53,,,,Secchi Depth - 00069,3.7,m,,0.1,m,0.1,m,,,,,,,Kaufmann,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,,,,Secchi Depth - 00069,3,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,10:25,,,,Secchi Depth - 00069,4.7,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,,,,Secchi Depth - 00069,3.3,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,Grab,Water,0.1,Temperature - 00011,23,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,0.1,Temperature - 00011,22.5,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,1,Temperature - 00011,23,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,Grab,Water,2.5,Temperature - 00011,23,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,0.1,Temperature - 00011,23,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,Grab,Water,1,Temperature - 00011,23,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/13/2001,12:53,Grab,Water,0.1,Temperature - 00011,21.5,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,Kaufmann,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,Grab,Water,0.1,Temperature - 00011,21,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,10:25,Grab,Water,0.1,Temperature - 00011,18,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,9:55,Grab,Water,0.1,Temperature - 00011,14,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,TSS - 00530,10,mg/l,U,20,mg/l,20,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,0.5,TSS - 00530,21,mg/l,,20,mg/l,20,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,0.5,TSS - 00530,7,mg/l,,5,mg/l,5,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/25/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.37,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP 2,,,
WW273,08/08/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.79,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital, GSP 2,,,
WW273,08/22/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.43,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP 2,,,
WW273,09/19/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.44,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP 2,,,
WW273,10/03/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.32,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP 2,,,
WW273,11/05/2002,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.52,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP 2,,,
WW273,07/25/2002,10:50,,,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,,0.1,m,0.1,m,,,,,,,Howe/duPont,GSP 2,,,
WW273,08/08/2002,15:20,,,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,,0.1,m,0.1,m,,,,,,,Howe/Kaufmann, GSP 2,,,
WW273,08/22/2002,9:40,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0.1,m,0.1,m,,,,,,,Howe/Kaufmann,GSP 2,,,
WW273,09/05/2002,10:15,,,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,,0.1,m,0.1,m,,,,,,,Howe/Kaufmann,GSP 2,,,
WW273,09/19/2002,11:00,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3,m,,0.1,m,0.1,m,,,,,,,Howe/Kaufmann,GSP 2,,,
WW273,10/03/2002,12:50,,,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,m,,0.1,m,0.1,m,,,,,,,Howe/Kaufmann,GSP 2,,,
WW273,11/05/2002,15:55,,,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,,0.1,m,0.1,m,,,,,,,Kaufmann,GSP 2,,,
WW273,07/25/2002,10:50,Grab,Water,1,Dissolved Oxygen - 00300,6.55,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/duPont,GSP 2,,,
WW273,08/08/2002,15:20,Grab,Water,1,Dissolved Oxygen - 00300,7.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann, GSP 2,,,
WW273,08/22/2002,9:40,Grab,Water,1,Dissolved Oxygen - 00300,5.9,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,08/22/2002,9:40,Grab,Water,2.5,Dissolved Oxygen - 00300,6.1,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,09/05/2002,10:15,Grab,Water,1,Dissolved Oxygen - 00300,6.1,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,09/19/2002,11:00,Grab,Water,1,Dissolved Oxygen - 00300,7.3,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,09/19/2002,11:00,Grab,Water,2,Dissolved Oxygen - 00300,7.45,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,10/03/2002,12:50,Grab,Water,1,Dissolved Oxygen - 00300,6.75,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,10/03/2002,12:50,Grab,Water,1.3,Dissolved Oxygen - 00300,6.5,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Howe/Kaufmann,GSP 2,,,
WW273,11/05/2002,15:55,Grab,Water,1,Dissolved Oxygen - 00300,7.8,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,Kaufmann,GSP 2,,,
WW273,07/25/2002,,Grab,Water,0.5,E.coli - 31633,0.1,CFU/100ml,U,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/22/2002,,Grab,Water,0.5,E.coli - 31633,2,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/19/2002,,Grab,Water,0.5,E.coli - 31633,0.1,CFU/100ml,U,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,11/12/2002,,Grab,Water,0.5,E.coli - 31633,2,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/25/2002,,Grab,Water,0.5,Fecal Coliform - 74055,0.1,CFU/100ml,U,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/22/2002,,Grab,Water,0.5,Fecal Coliform - 74055,2,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/19/2002,,Grab,Water,0.5,Fecal Coliform - 74055,0.1,CFU/100ml,U,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,11/12/2002,,Grab,Water,0.5,Fecal Coliform - 74055,2,CFU/100ml,,1,CFU/100ml,1,CFU/100ml,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/25/2002,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/25/2002,,Grab,Water,1.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,08/22/2002,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,09/19/2002,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,11/12/2002,,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,11/12/2002,,Grab,Water,1.5,"Nitrate + Nitrite, Dissolved - 00631",0.0125,mg/l,U,0.025,mg/l,0.025,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
WW273,07/25/2002,,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.015,mg/l,U,0.03,mg/l,0.03,mg/l,URIWW,,,,,,,GSP #2 (Narragansett Inn),,,
