WW_StaNumb,WW_Station,WBID,WB_Type,Site_DESCR,PARKING_ACCESS,Town,BorderTown,COUNTY,State,LAT_DD,LON_DD,ProjID,Year_added,Active,Status,DepthCode,MaxDepth_m,PublicAcce,LakeAcreag,sq__meter,HUC_8,HUC_10,HUC_12,HUC_10_NAME,HUC_12_NAME,Image,elevation_Feet,elevation_meters
11,WW11,RI0006015L-08,Lake or Pond,Coomer's Lake (Reservoir),"Off Snake Hill Rd., public access at Marion Irons Beach",Glocester,,PROVIDENCE,RI,41.880867,-71.624909,12,1992,2003,Not Active,S,4,No,,NA,1090004,109000406,10900040604,Pawtuxet River,Moswansicut Pond-Huntinghouse Brook,,372,113.4
12,WW12,RI0010043L-08,Lake or Pond,Deep Pond (Charlestown),Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.391067,-71.66225,12,1990,2016,Active,D,10,No,15,60198.25,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,45.7,13.9
13,WW13,RI0001002L-03,Reservoir ,Echo Lake (Pascoag south),,Glocester,"Burrillville, Glocester",PROVIDENCE,RI,41.927994,-71.711037,12,2001,2001,Not Active,S,,Yes,,,1090003,109000302,10900030202,Lower Blackstone River,Clear River,,439.6,134
14,WW14,RI0006017L-08,Lake or Pond,Fenner Pond,,Cranston,,PROVIDENCE,RI,41.771401,-71.419901,12,2001,2006,Not Active,S,2,,,,1090004,109000406,10900040609,Pawtuxet River,Pawtuxet River,,19.5,6
15,WW15,RI0006013L-01,Reservoir ,Flat River Reservoir (Johnson Pond),Public access and launch ramp at Zeke's Bridge off Harkney Hill Rd.,Coventry,,KENT,RI,41.685454,-71.605113,12,1992,2016,Active,D,10.2,Yes,615.7,2462859,1090004,109000406,10900040602,Pawtuxet River,Headwaters South Branch Pawtuxet River,,246.8,75.2
16,WW16,RI0002007L-02,Reservoir ,Georgiaville Pond,"Georgiaville Beach, public bathing beach, road off of 104",Smithfield,,PROVIDENCE,RI,41.892783,-71.511331,12,1990,2016,Active,D,7,Yes,98.1,392272.9,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,151.7,46.2
17,WW17,RI0008039L-13,Reservoir ,Hundred Acre Pond,"Off Rte. 138, adjacent to AMTRAK rails; no public access",South Kingstown,,WASHINGTON,RI,41.49995,-71.542667,12,1988,2016,Active,D,11.6,No,85.2,340702.6,1090005,109000502,10900050201,Upper Pawcatuck River,Chipuxet River-Pawcatuck River,,95.5,29.1
18,WW18,RI0010045L-04,Lake or Pond,Indian Lake,"State fishing access/parking area and ramp, off Rte. 1",South Kingstown,,WASHINGTON,RI,41.480172,-71.470544,12,1990,2016,Active,S,2.7,Yes,267.8,1071303,1090005,109000504,10900050402,Frontal Block Island Sound,Saugatucket River,,79.9,24.4
19,WW19,RI0001002L-11,Reservoir ,Keech Pond,Access from Chestnut Hill Rd. off Rte. 102,Glocester,,PROVIDENCE,RI,41.879128,-71.688375,12,1992,2016,Active,S,4.2,Yes,49.8,199372.3,1090003,109000302,10900030203,Lower Blackstone River,Chepachet River,,433,132
20,WW20,RI0007024L-01,Lake or Pond,"Sandy Pond (Little Pond, south of airport)",Town beach,Warwick,,KENT,RI,41.705881,-71.406332,12,1995,2016,Active,D,6,Yes,8.7,34633.8,1090004,109000409,10900040901,Narragansett Bay,Seekonk River-Providence River,,19,5.8
21,WW21,RI0008040L-10,Reservoir ,Locustville Pond,"State-owned  fishing access parking area and ramp, **  off Rte. 3",Hopkinton,,WASHINGTON,RI,41.510217,-71.717213,12,1988,2016,Active,S,4,Yes,83.3,333222.9,1090005,109000501,10900050102,Wood River,Lower Wood River,,92.8,28.3
22,WW22,RI0008040L-20,Lake or Pond,Long Pond (Hopkinton),Limited access from parking area in adjacent Rockville Management Area off Canonchet Rd.,Hopkinton,,WASHINGTON,RI,41.506486,-71.774108,12,1999,2003,Not Active,D,7.5,Yes,20.4,81763.41,1090005,109000501,10900050102,Wood River,Lower Wood River,,319.7,97.4
23,WW23,RI0010043L-07,Lake or Pond,Long Pond (South Kingstown),Off Minsterial Rd.; no public access,South Kingstown,,WASHINGTON,RI,41.41035,-71.553686,12,1990,2016,Active,D,8.2,No,39.9,159417.5,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,90.1,27.4
24,WW24,RI0002007L-06,Reservoir ,Lower Sprague Reservoir,Off Rte. 5; no public access,Smithfield,,PROVIDENCE,RI,41.887806,-71.548376,12,1994,2011,Not Active,S,3.5,No,25.4,101680.6,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,236.6,72.1
25,WW25,RI0006017L-06,Lake or Pond,Mashapaug Pond,"Just east of Route 10 near the Providence / Cranston border, accessable near Reservior Ave.  A community organization is developing a nature trail and park on the pond.",Providence,,PROVIDENCE,RI,41.790983,-71.432942,12,1999,2012,Not Active,S,3.5,Yes,77.7,310640.4,1090004,109000406,10900040609,Pawtuxet River,Pawtuxet River,,38.4,11.7
26,WW26,RI0008039L-05,Reservoir ,Meadowbrook Pond (Sandy Pond),State fishing/swimming access & parking area off Rte. 91,Richmond,,WASHINGTON,RI,41.439906,-71.691067,12,1988,2016,Active,S,3,Yes,23.3,93374.19,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,53.4,16.3
27,WW27,RI0006014L-01,Lake or Pond,Mishnock Lake,"Mishnock Rd. off Rte 3, paid access at Mishnock Lake Beach",West Greenwich,,KENT,RI,41.654058,-71.590844,12,1994,2016,Active,D,5.4,No,47.6,190386.3,1090004,109000406,10900040603,Pawtuxet River,South Branch Pawtuxet River,,248.7,75.8
28,WW28,RI0006018L-01,Reservoir ,Oak Swamp Reservoir,Located just south of Route 6 (Hartford Ave.).,Johnston,,PROVIDENCE,RI,41.827322,-71.541019,12,2000,2006,Not Active,S,3,Yes,110.7,442703.7,1090004,109000406,10900040608,Pawtuxet River,Pocassett River,,356.7,108.7
29,WW29,RI0001002L-03,Reservoir ,Pascoag Reservoir (Echo Lake),,Burrillville,"Burrillville, Glocester",PROVIDENCE,RI,41.944583,-71.706023,12,1994,2016,Active,D,5.8,Yes,342.3,,1090003,109000302,10900030202,Lower Blackstone River,Clear River,,439.6,134
30,WW30,RI0008039L-06,Lake or Pond,Pasquiset Pond,East of the junction of Rtes. 112 and 2,Charlestown,,WASHINGTON,RI,41.426961,-71.631367,12,1988,2016,Active,D,5,No,77.5,310175.9,1090005,109000502,10900050204,Upper Pawcatuck River,Usquepaug River-Pawcatuck River,,87.7,26.7
31,WW31,RI0008039R-18C,Stream or river,Pawcatuck River @ Bradford.  (Westerly/Hopkinton),State fishing access/parking off Rte 91,Hopkinton,"Richmond, Hopkinton",WASHINGTON,RI,41.406269,-71.747733,12,1988,2016,Active,S,3,Yes,117.6,470400.3,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,33.2,
32,WW32,RI0010043E-06A,Salt Pond,Pt. Judith Pond - East Pond.  (Narragansett/South Kingstown),,Narragansett,"Narragansett, South Kingstown",WASHINGTON,RI,41.387539,-71.500766,12,2007,2016,Active,S,,No,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,,
33,WW33,RI0007020L-06,Lake or Pond,Prince's Pond (Tiffany Pond),"Access through Tiffany Pond Park, off Rte 103",Barrington,,BRISTOL,RI,41.743678,-71.318425,12,1994,2016,Active,D,4,No,,NA,1090004,109000409,10900040901,Narragansett Bay,Seekonk River-Providence River,,1.6,0.5
34,WW34,RI0008039L-19,Reservoir ,Queen River @ Usquepaugh (Glen Rock Reservoir),Off Rte 138; no public access,South Kingstown,,WASHINGTON,RI,41.507914,-71.606189,12,1988,2016,Active,S,2.8,No,30.6,122466.5,1090005,109000502,10900050202,Upper Pawcatuck River,Usquepaug River,,110.1,33.6
35,WW35,RI0006013L-04,Reservoir ,Quidnick Reservoir,"Off Rte 116 (Harkney Rd.), paid access through Camp Westwood",Coventry,,KENT,RI,41.679061,-71.679369,12,1995,2001,Not Active,D,11,No,175.5,702041,1090004,109000406,10900040602,Pawtuxet River,Headwaters South Branch Pawtuxet River,,475.7,145
36,WW36,RI0006018L-04,Lake or Pond,Randall Pond,,Cranston,,PROVIDENCE,RI,41.788765,-71.468889,12,2000,2016,Active,S,5.7,,,,1090004,109000406,10900040608,Pawtuxet River,Pocassett River,,66.1,20.1
37,WW37,RI0006017L-05,Reservoir ,Roger Williams Park Pond (Cunliff Lake),,Providence,,PROVIDENCE,RI,41.778542,-71.41297,12,2003,2016,Active,S,1.7,Yes,,,1090004,109000406,10900040609,Pawtuxet River,Pawtuxet River,,27.1,8.3
38,WW38,RI0006017L-09,Lake or Pond,Sand Pond (N. of Airport),"Access near Veterans Memorial High School, off Rte 117 (west Shore Rd)",Warwick,,KENT,RI,41.745261,-71.424635,12,1995,2016,Active,D,7.6,Yes,28.7,114714.3,1090004,109000409,10900040902,Narragansett Bay,Upper Narragansett Bay,,38.7,11.8
39,WW39,RI0010045L-01,Reservoir ,Saugatucket Pond,Off Rte 108; no public access,South Kingstown,,WASHINGTON,RI,41.453581,-71.494992,12,1992,2010,Not Active,S,3,No,41.2,164685.8,1090005,109000504,10900050401,Frontal Block Island Sound,Saugatucket River,,27.8,8.5
40,WW40,RI0010043L-09,Lake or Pond,Schoolhouse Pond-Lower,Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.395469,-71.665214,12,1990,2016,Active,D,8.5,No,48,390450.2,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,52.1,15.9
41,WW41,RI0010043L-09,Lake or Pond,Schoolhouse Pond-Upper,Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.400531,-71.667686,12,1990,2016,Active,D,8.5,No,49.6,390450.2,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,52.1,15.9
42,WW42,RI0007027L-03,Reservoir ,Secret Lake,Lake is immediately adjacent and south of Oak Hill Rd.,North Kingstown,,KENT,RI,41.555019,-71.480589,12,1989,2016,Active,S,3.4,Yes,46.8,187060.3,1090004,109000409,10900040908,Narragansett Bay,Lower West Passage,,49.7,15.2
43,WW43,RI0006015L-05,Lake or Pond,Shippee Sawmill Pond,Open space area off Mount Hygeia Rd.,Foster,,PROVIDENCE,RI,41.834822,-71.751681,12,2000,2012,Not Active,S,2,Yes,8.3,33147.31,1090004,109000406,10900040605,Pawtuxet River,Barden Reservoir-Ponaganset River,,553.7,168.8
44,WW44,RI0010045L-05,Lake or Pond,Silver Lake,Accessed from Rte 108; no public access,South Kingstown,,WASHINGTON,RI,41.433967,-71.488181,12,1993,2016,Active,D,10,No,45.3,181275.8,1090005,109000504,10900050401,Frontal Block Island Sound,Saugatucket River,,19.5,6
45,WW45,RI0010044L-02,Reservoir ,Silver Spring Lake,State fishing/parking area and boat ramp off Rte. 1,North Kingstown,,KENT,RI,41.538511,-71.469867,12,1989,2012,Not Active,S,4.2,Yes,19,75883.16,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,36.2,11
46,WW46,RI0002007L-03,Reservoir ,Slack's Reservoir,,Johnston,"Smithfield, Johnston",PROVIDENCE,RI,41.859528,-71.55175,12,1990,2016,Active,D,4.6,Yes,,,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,273.6,83.4
47,WW47,RI0004009L-02,Lake or Pond,Slater Pond,,Pawtucket,,PROVIDENCE,RI,41.871036,-71.344896,12,1993,2012,Not Active,S,1,Yes,,,1090004,109000404,10900040401,Ten Mile River,Ten Mile River,,58.3,17.8
48,WW48,RI0001002L-07,Reservoir ,Smith and Sayles Reservoir,"State ramp/parking area off Sand Dam Rd., 10 h.p. limit",Glocester,,PROVIDENCE,RI,41.893469,-71.682067,12,1994,2016,Active,S,3.4,Yes,174.8,699364.4,1090003,109000302,10900030203,Lower Blackstone River,Chepachet River,,423.6,129.1
49,WW49,RI0006017L-07,Lake or Pond,Spectacle Pond,Just west of Route 10 near the Providence / Cranston border.,Cranston,,PROVIDENCE,RI,41.790244,-71.442558,12,1999,2016,Active,D,3,Yes,39.3,157079.8,1090004,109000406,10900040609,Pawtuxet River,Pawtuxet River,,40.3,12.3
50,WW50,RI0001002L-06,Lake or Pond,Spring Grove Pond,"Access from Spring Grove Rd., off Rte 44",Glocester,,PROVIDENCE,RI,41.908847,-71.649328,12,1992,2016,Active,S,4.1,No,22.7,90590.84,1090003,109000302,10900030203,Lower Blackstone River,Chepachet River,,432.9,132
51,WW51,RI0001002L-04,Lake or Pond,Spring Lake (Herring Pond),"Spring Lake Rd., adjacent to the Black Hut Mgmt Area",Burrillville,,PROVIDENCE,RI,41.982658,-71.664339,12,1992,2016,Active,D,7,Yes,96,383808.1,1090003,109000302,10900030202,Lower Blackstone River,Clear River,,391.2,119.2
52,WW52,RI0002007L-07,Reservoir ,Stillwater Pond,"Also known as Stillwater Reservoir, access off of Mowry Rd, public access unknown",Smithfield,,PROVIDENCE,RI,41.908342,-71.527331,12,1990,2003,Not Active,S,4.5,No,25.2,100975.9,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,194.8,59.4
53,WW53,RI0001002L-05,Lake or Pond,Sucker Pond,,Burrillville,,PROVIDENCE,RI,41.936839,-71.668168,12,,,Not Active,S,,No,,,1090003,109000302,10900030203,Lower Blackstone River,Chepachet River,,440.9,134.4
54,WW54,RI0006012L-02,Lake or Pond,Tarbox Pond,Big River Management Area off Hopkins Hill Rd.,West Greenwich,,KENT,RI,41.634431,-71.568811,12,1999,,Not Active,S,2.5,Yes,20.1,80566.5,1090004,109000406,10900040601,Pawtuxet River,Big River,,288.8,88
55,WW55,RI0006014L-02,Reservoir ,Tiogue Lake,"Tiogue Beach, public bathing beach, off of Rte. 3",Coventry,,KENT,RI,41.679097,-71.550853,12,1991,2016,Active,S,3.4,Yes,229,916006.3,1090004,109000406,10900040603,Pawtuxet River,South Branch Pawtuxet River,,226.3,69
56,WW56,RI0008039L-08,Lake or Pond,Tucker Pond,"State launch ramp and parking area off of Tuckertown Rd, which intersects with Rte 110",South Kingstown,,WASHINGTON,RI,41.424494,-71.551047,12,,2013,Not Active,D,9.8,Yes,94.1,376346,1090005,109000502,10900050201,Upper Pawcatuck River,Chipuxet River-Pawcatuck River,,92.8,28.3
57,WW57,RI0004009L-01B,Reservoir ,Turner Reservoir (south),,East Providence,,PROVIDENCE,RI,41.840031,-71.339789,12,2000,2011,Not Active,S,3,Yes,86.1,,1090004,109000404,10900040401,Ten Mile River,Ten Mile River,,47.8,14.6
58,WW58,RI0001003L-02,Reservoir ,Valley Falls Pond,"The pond is located just east of Lonsdale Ave, and north of Hunt Street",Central Falls,,PROVIDENCE,RI,41.895206,-71.398375,12,2000,2007,Not Active,S,0.7,Yes,,,1090003,109000302,10900030208,Lower Blackstone River,Peters River-Blackstone River,,48.5,14.8
59,WW59,RI0007024L-02,Lake or Pond,Warwick Pond,"Access off Warwick Ave., limited parking",Warwick,,KENT,RI,41.7228,-71.412906,12,1995,2016,Active,D,7.9,Yes,85.7,342891.8,1090004,109000409,10900040902,Narragansett Bay,Upper Narragansett Bay,,13.5,4.1
60,WW60,RI0008039L-02,Lake or Pond,Watchaug Pond,"Burlingame State Park picnic area/swimming beach, separate launch/parking area",Charlestown,,WASHINGTON,RI,41.379358,-71.690058,12,1988,2016,Active,D,12.8,Yes,574.8,2299284,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,36.5,11.1
61,WW61,RI0002007L-04,Reservoir ,Waterman Reservoir,Limited shore access from Rte. 44,Glocester,"Glocester, Smithfield",PROVIDENCE,RI,41.881519,-71.589489,12,1990,2016,Active,S,2.1,No,254.9,1019564,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,328.5,100.1
62,WW62,RI0003008L-05,Reservoir ,Wenscott Reservoir,Access from Route 7 which divides the reservior in half (area is the total of both halves),North Providence,"North Providence, Smithfield",PROVIDENCE,RI,41.872736,-71.464036,12,1994,2013,Not Active,S,3,Yes,83.8,335249.6,1090004,109000405,10900040501,Woonasquatucket River-Moshassuck River,Moshassuck River,,207.5,63.3
63,WW63,RI0001002L-01,Reservoir ,Wilson Reservoir,State launch/parking area on East Wallum Rd.; 10 HP limit,Burrillville,,PROVIDENCE,RI,41.967878,-71.727158,12,1994,2003,Not Active,S,4,Yes,110.6,442549,1090003,109000302,10900030202,Lower Blackstone River,Clear River,,438.3,133.6
64,WW64,RI0010043L-05,Lake or Pond,White Pond,Off Rte. 1; no public access,South Kingstown,,WASHINGTON,RI,41.414572,-71.545928,12,1989,2016,Active,D,13.6,No,26.2,104872.1,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,96.7,29.5
65,WW65,RI0002007L-08,Reservoir ,Woonasquatucket Reservoir (Stump Pond),"Primary public access off Rte.104, secondary off Log Rd.",Smithfield,,PROVIDENCE,RI,41.906078,-71.544722,12,1990,,Not Active,S,4.6,Yes,306.5,1225901,1090004,109000405,10900040502,Woonasquatucket River-Moshassuck River,Woonasquatucket River,,206.4,62.9
66,WW66,RI0008039L-07,Lake or Pond,Worden Pond,"State launch ramp/parking available off Wordens Pond Rd, which intersects with Rte 110",South Kingstown,,WASHINGTON,RI,41.437677,-71.57092,12,1988,2016,Active,S,1.9,Yes,1063.8,4255394,1090005,109000502,10900050201,Upper Pawcatuck River,Chipuxet River-Pawcatuck River,,89.2,27.2
67,WW67,RI0008040L-11,Reservoir ,Wyoming Pond,,Hopkinton,,WASHINGTON,RI,41.516191,-71.702446,12,1994,2016,Active,S,3.6,Yes,72.6,,1090005,109000501,10900050101,Wood River,Upper Wood River,,96.3,29.4
68,WW68,RI0008039L-15,Lake or Pond,Yawgoo Pond,,South Kingstown,"Exeter, South Kingstown",WASHINGTON,RI,41.510569,-71.57166,12,1988,2016,Active,D,10,Yes,145.1,,1090005,109000502,10900050204,Upper Pawcatuck River,Usquepaug River-Pawcatuck River,,118.4,36.1
69,WW69,RI0008039R-03,Stream or river,Beaver River #1 (Old Mt),,Richmond,,WASHINGTON,RI,41.53869,-71.641044,12,,,Not Active,S,,Yes,,,1090005,109000502,10900050203,Upper Pawcatuck River,Beaver River,,245.3,
70,WW70,RI0008039R-03,Stream or river,Beaver River #3 (Rte 138),,Richmond,,WASHINGTON,RI,41.492323,-71.627958,12,,2016,Active,S,,Yes,,,1090005,109000502,10900050203,Upper Pawcatuck River,Beaver River,,107.9,
71,WW71,RI0008039R-03,Stream or river,Beaver River #4 (Shannock),,Richmond,,WASHINGTON,RI,41.464271,-71.627845,12,,,Not Active,S,,Yes,,,1090005,109000502,10900050203,Upper Pawcatuck River,Beaver River,,89.6,
72,WW72,RI0008040R-07,Stream or river,Falls River A,"Within the Arcadia Management Area, ""Twin Bridges"" site",West Greenwich,"West Greenwich, Exeter",KENT,RI,41.579995,-71.72086,12,1995,2016,Active,S,,Yes,,,1090005,109000501,10900050101,Wood River,Upper Wood River,,124.8,
73,WW73,RI0008040R-07,Stream or river,Falls River B,"Within the Arcadia Management Area, ""Sand Bank"" site",Exeter,"West Greenwich, Exeter",WASHINGTON,RI,41.587169,-71.731245,12,1995,2013,Not Active,S,,Yes,,,1090005,109000501,10900050101,Wood River,Upper Wood River,,131.6,
74,WW74,RI0008040R-07,Stream or river,Falls River C,"Within the Arcadia Management Area, at intersection with Austin Farm Rd/Trail",Exeter,"West Greenwich, Exeter",WASHINGTON,RI,41.598177,-71.745779,12,1995,2016,Active,S,,Yes,,,1090005,109000501,10900050101,Wood River,Upper Wood River,,158.3,
75,WW75,RI0008040R-07,Stream or river,Falls River D,"Stepstone Falls, intersection of Falls River Road",Exeter,"West Greenwich, Exeter",WASHINGTON,RI,41.612641,-71.760484,12,1995,2016,Active,S,,Yes,,,1090005,109000501,10900050101,Wood River,Upper Wood River,,277.3,
76,WW76,RI0008040R-11,Stream or river,Locustv. Log House Brook at Grassy-Sand Pond Rd,,Hopkinton,,WASHINGTON,RI,41.540673,-71.770805,12,,,Not Active,S,,Yes,,,1090005,109000501,10900050102,Wood River,Lower Wood River,,353.8,
77,WW77,RI0008040R-03B,Stream or river,Locustv. Brushy Brook at Woody Hill,,Hopkinton,,WASHINGTON,RI,41.534474,-71.748054,12,,2014,Active,S,,Yes,,,1090005,109000501,10900050102,Wood River,Lower Wood River,,153.6,
78,WW78,RI0008040R-03B,Stream or river,Locustv. Brushy Brook at Saw Mill,,Hopkinton,,WASHINGTON,RI,41.527842,-71.736243,12,,2014,Active,S,,Yes,,,1090005,109000501,10900050102,Wood River,Lower Wood River,,117.5,
79,WW79,RI0008040R-12,Stream or river,Locustv. Moscow Brook at Saw Mill,,Hopkinton,,WASHINGTON,RI,41.527008,-71.736715,12,,,Not Active,S,,Yes,,,1090005,109000501,10900050102,Wood River,Lower Wood River,,123.6,
80,WW80,RI0008039R-13,Stream or river,Meadow Brook #1,,Richmond,,WASHINGTON,RI,41.500833,-71.66508,12,,,Not Active,S,,Yes,,,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,137.3,
81,WW81,RI0008039R-13,Stream or river,Meadow Brook #2,,Richmond,,WASHINGTON,RI,41.466504,-71.69018,12,,,Not Active,S,,Yes,,,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,76.4,
82,WW82,RI0008039R-13,Stream or river,Meadow Brook #3,,Richmond,,WASHINGTON,RI,41.446585,-71.690148,12,,,Not Active,S,,Yes,,,1090005,109000502,10900050205,Upper Pawcatuck River,Tomaquag Brook-Pawcatuck River,,55.3,
83,WW83,RI0005011R-03,Stream or river,Moosup River Upstream,,Foster,,PROVIDENCE,RI,41.765449,-71.767155,12,1996,2016,Active,S,,No,,,1100001,110000105,11000010501,Moosup River,Upper Moosup River,,502.2,
84,WW84,RI0005011R-03,Stream or river,Moosup River-A - Fairbanks,,Coventry,,KENT,RI,41.706458,-71.761538,12,1996,2016,Active,S,,Yes,,,1100001,110000105,11000010501,Moosup River,Upper Moosup River,,356.2,
85,WW85,RI0005011R-03,Stream or river,Moosup River-B,,Coventry,,KENT,RI,41.690931,-71.763224,12,1996,2007,Not Active,S,,Yes,,,1100001,110000105,11000010501,Moosup River,Upper Moosup River,,341.5,
86,WW86,RI0010044R-01,Stream or river,Narrow River 01 - Gilbert Stuart Stream,"At intersection of Gilbert Stuart Rd, just downstream of Gilbert Stuart birthplace",North Kingstown,,KENT,RI,41.519381,-71.445281,12,1992,2016,Active,S,0.4,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.8,
87,WW87,RI0010044E-01A,Estuary,Narrow River 02 - Upper Pond,"Upper pond of Pettaquamscutt Lake, limited access",North Kingstown,,KENT,RI,41.514214,-71.447789,12,1992,2016,Active,D,9,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,
88,WW88,RI0010044R-10,Stream or river,Narrow River 12 - Mumford Brook,,South Kingstown,,WASHINGTON,RI,41.438846,-71.475098,12,2000,2016,Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,6.4,
89,WW89,RI0010044E-01A,Estuary,Narrow River 03 - Lower Pond A,"Upstream portion of the lower pond of Pettaquamscutt Lake, limited access from URI property off of Walmsley Lane",North Kingstown,,KENT,RI,41.503847,-71.45155,12,1992,2016,Active,D,9.5,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,
90,WW90,RI0001003R-01A,Stream or river,Blackstone Canal at Scott Pond,,Lincoln,,PROVIDENCE,RI,41.906618,-71.406206,12,,,Not Active,S,,Yes,,,1090003,109000302,10900030208,Lower Blackstone River,Peters River-Blackstone River,,70.9,
91,WW91,RI0010044E-01A,Estuary,Narrow River 04 - Lower Pond B,"Downstream portion of the lower pond of Pettaquamscutt Lake, limited access from URI property off of Walmsley Lane",South Kingstown,"South Kingstown, Narragansett",WASHINGTON,RI,41.494719,-71.448764,12,1992,2016,Active,D,5,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,
